,comment,rating,class,clean_comment,sentiment,sentiment_predict
0,Packing nya rapi. Suka dg aroma nya,4,1,packing nya rapi suka dg aroma nya,1,1
1,"wangi cocok, packing dan kurir mantul.",5,1,wangi cocok packing kurir mantul,1,1
2,"harganya murah, khasiatnya mantap.. mantap bingit",5,1,harga murah khasiat mantap mantap bingit,1,1
3,Awet seharian 💄 Coverage-nya high Cocok buat bibir gelap Aplikator mudah dipakai Penjualnya ramah banget Gampang dibawa-bawa Packaging aman 🙏 Proses pesanan cepat Respo... ,5,1,awet hari coveragenya high cocok buat bibir gelap aplikator mudah pakai jual ramah banget gampang dibawabawa packaging aman proses pesan cepat respo,1,1
4,"suka bngett aromanya, ✨💗",5,1,suka bngett aroma,1,1
5,Packing sangat amat aman suka,5,1,packing sangat aman suka,1,1
6,"Barang tidak jadi dikirim & pengembalian dana belom masuk.
Kalo pembayaran saya sudah dikembalikan baru saya ganti rate nya",1,1,barang jadi kirim kembali dana bom masuk kalo bayar sudah kembali baru ganti rate nya,0,0
7,"produknya ok banget, tapi sayang sekali pengirimannya nyaris hampir 2 minggu lho baru sampe",3,1,produk banget sayang sekali kirim nyaris hampir minggu lho baru sampe,0,0
8,ngga cocok dikulit saya,3,1,ngga cocok kulit,0,0
9,"pengiriman cepat sampai, pelayanan ok. 👍",5,1,kirim cepat layan,1,1
10,"sesuai deskripsi,respon cepat,proses cepat,packing aman. thanks seller",5,1,sesuai deskripsirespon cepatproses cepatpacking aman thanks seller,1,1
11,Padahal di pic jumlah nya 2 kok yg dtg cuma 1,1,1,padahal pic jumlah nya kok dtg cuma,0,0
12,Cepat prosesnya dan delivery nya,5,1,cepat proses delivery nya,1,1
13,"Seller responsif. Pengiriman ontime. Packaging an. Barang sssuai pesanan n deskripsi. Lipstiknya ok, warna sesuai, ringan di bibir n matte.",5,1,seller responsif kirim ontime packaging an barang suai pesan n deskripsi lipstik warna sesuai ringan bibir n matte,1,1
14,produk bagus pkkoknya,5,1,produk bagus pkkoknya,1,1
15,minyak nya tumpah2😥😥😥,3,1,minyak nya tumpah,0,0
16,good product sesuai untuk kulit tropis,5,1,good product sesuai kulit tropis,1,1
17,sdh diterima dlm kondisi baik. dari dl suka luluran dgn produk mustika.. bikin keringet ga bau. tks,5,1,sdh terima dlm kondisi baik dl suka lulur dgn produk mustika bikin keringet ga bau tks,1,1
18,"kualitas produk baik, packing baik",5,1,kualitas produk baik packing baik,1,1
19,shampoonya 1 bocor. tumpah di boxnya. sepertinya karna trlalu lama di pengiriman. Lama sampainya,4,1,shampoonya bocor tumpah boxnya seperti karna trlalu lama kirim lama sampai,1,0
20,produk ori,5,1,produk ori,1,1
21,"Selalu pake shampoo dan hair tonicnya krn bagus untuk mengurangi kerontokan rambut, alhamdullah dapat diskon dengan harga lebih murahjd lgsg beli sekalian",5,1,selalu pake shampoo hair tonicnya krn bagus kurang rontok rambut alhamdullah diskon harga lebih murahjd lgsg beli sekali,1,1
22,Packaginya bagus sekali. Semuanya bagus,5,1,packaginya bagus sekali semua bagus,1,1
23,mantul. always langganan mustika ratu dong,5,1,mantul always langgan mustika ratu dong,1,1
24,produk dan pengemasan sangat baik,5,1,produk emas sangat baik,1,1
25,"mantap gan, barang bagus, responsif pula thanks y",5,1,mantap gan barang bagus responsif thanks y,1,1
26,cocok utk satu keluarga,5,1,cocok utk satu keluarga,1,1
27,"sepertinya saya yg ga terlalu cocok, di kulit kering teksturnya agak powdery. semakin sering re-touch, semakin tebal🙂",3,1,seperti yg ga terlalu cocok kulit kering tekstur powdery makin sering retouch makin tebal,0,0
28,Oke sesuia,5,1,oke sesuia,1,1
29,"suka promosi ini, body scrub papaya membuat kulit menjadi lembut dan harum",5,1,suka promosi body scrub papaya buat kulit jadi lembut harum,1,1
30,"suka promosi ini, bundling membuat menjadi affordable, produk masker jerawat indah sari benar-benar bagus, mengurangi potensi jerawat",5,1,suka promosi bundling buat jadi affordable produk masker jerawat indah sari benarbenar bagus kurang potensi jerawat,1,1
31,"pengiriman nya lama, tidak sesuai estimasi .",3,1,kirim nya lama sesuai estimasi,0,0
